Participant,Live_With,Another_Dog,Consider_Getting_Another_Dog,MostImp1_Rec,MostImp2_Rec,MostImp3_Rec,MostImp4_Rec,MostImp5_Rec,MostImp6_Rec,MostImpT2_1_Rec,MostImpT2_2_Rec,MostImpT2_3_Rec,MostImpT2_4_Rec,MostImpT2_5_Rec,MostImpT2_6_Rec,Where_Purchased_Rec,ExpectationsMet_YesNo,ExpectationsMet_Rec,Time_Thinking_Rec,Where_Dog_Is_Now_Rec,Live_With_Time_Rec,Where_Would_You_Purchase_Rec,First,Second,Third,Fourth,Fifth,Sixth,Shelter,Breeder,Yes,appearance,breed,size,age,personality,trainability,compatibility,rank_sum
P1403,1,0,1,2,5,1,6,7,4,6,4,5,1,7,2,7,4,4,1,11,5,7,0,0,0,1,0,0,0,1,0,3,1,7,6,2,4,5,28
P1426,1,0,1,2,1,6,3,5,7,4,6,1,5,3,7,7,4,4,1,11,5,7,0,0,0,1,0,0,0,1,0,2,1,4,7,5,3,6,28
P1612,1,0,1,2,1,6,5,3,7,4,3,5,1,7,6,7,4,4,4,11,5,7,0,0,0,1,0,0,0,1,0,2,1,5,7,4,3,6,28
P1627,1,0,1,2,5,6,1,3,7,5,7,3,2,6,1,7,4,4,2,11,5,7,0,0,0,1,0,0,0,1,0,4,1,5,7,2,3,6,28
P1647,0,0,1,2,3,6,1,4,5,6,5,4,7,1,3,7,4,4,2,1,2,7,0,0,0,1,0,0,0,1,0,4,1,2,5,6,3,7,28
P1652,1,0,1,2,3,3,6,1,5,3,5,4,2,6,7,5,4,4,1,11,5,7,0,0,0,1,0,0,0,1,0,5,1,3,7,6,4,0,26
P1672,1,0,1,2,5,4,3,7,1,4,5,6,1,5,7,7,4,4,2,11,5,7,0,0,0,1,0,0,0,1,0,6,1,4,3,2,7,5,28
P1690,1,0,1,2,6,1,5,3,4,1,6,4,3,2,5,2,4,4,1,11,5,7,0,0,0,1,0,0,0,1,0,3,1,5,6,4,2,7,28
P1100,0,1,#NULL!,2,5,4,1,6,7,8,8,8,8,8,8,4,4,4,4,5,2,8,0,0,0,1,0,0,0,1,0,4,1,7,3,2,5,6,28
P790,1,0,1,2,3,6,1,5,7,3,6,1,5,7,2,7,4,4,1,11,5,5,0,0,0,1,0,0,0,1,0,4,1,2,7,5,3,6,28
P944,1,1,#NULL!,2,3,6,7,5,1,8,8,8,8,8,8,7,4,4,1,11,5,8,0,0,0,1,0,0,0,1,0,6,1,2,7,5,3,4,28
P98,1,0,0,2,5,7,5,1,6,8,8,8,8,8,8,7,4,4,2,11,5,8,0,0,0,1,0,0,0,1,0,5,1,7,0,4,6,3,26
P1350,1,0,0,2,3,6,5,7,1,8,8,8,8,8,8,6,4,4,1,11,5,8,0,0,0,1,0,0,0,1,0,6,1,2,7,4,3,5,28
P958,1,0,1,2,3,6,5,7,1,6,5,7,2,3,4,7,4,4,1,11,5,7,0,0,0,1,0,0,0,1,0,6,1,2,7,4,3,5,28
P344,1,0,1,2,5,6,1,3,7,4,1,5,7,2,3,4,4,4,4,11,5,7,0,0,0,1,0,0,0,1,0,4,1,5,7,2,3,6,28
P1540,1,0,1,2,1,4,5,7,3,4,5,7,2,3,6,4,4,4,4,11,5,7,0,0,0,1,0,0,0,1,0,2,1,6,3,4,7,5,28
P446,0,0,1,2,3,1,5,4,6,3,5,4,7,6,1,7,4,4,4,5,3,2,0,0,0,1,0,0,0,1,0,3,1,2,5,4,6,7,28
P1056,1,0,0,2,6,5,7,1,3,8,8,8,8,8,8,7,4,4,1,11,5,8,0,0,0,1,0,0,0,1,0,5,1,6,7,3,2,4,28
P1448,1,1,#NULL!,2,3,1,4,5,6,8,8,8,8,8,8,1,4,4,1,11,5,8,0,0,0,1,0,0,0,1,0,3,1,2,4,5,6,7,28
P182,1,0,1,2,3,5,6,1,4,5,4,2,1,6,3,7,4,4,4,11,5,7,0,0,0,1,0,0,0,1,0,5,1,2,6,3,4,7,28
P595,1,0,1,2,4,6,5,1,3,5,6,1,4,2,7,7,4,4,4,11,5,7,0,0,0,1,0,0,0,1,0,5,1,6,2,4,3,7,28
P334,1,0,1,2,1,6,3,5,7,4,5,2,1,6,3,3,4,4,4,11,5,7,0,0,0,1,0,0,0,1,0,2,1,4,7,5,3,6,28
P131,1,1,#NULL!,2,5,3,1,6,4,8,8,8,8,8,8,7,4,4,4,11,5,8,0,0,0,1,0,0,0,1,0,4,1,3,6,2,5,7,28
P923,1,1,#NULL!,2,5,4,3,6,1,8,8,8,8,8,8,1,4,4,1,11,5,8,0,0,0,1,0,0,0,1,0,6,1,4,3,2,5,7,28
P24,1,1,#NULL!,2,6,5,3,1,7,8,8,8,8,8,8,7,4,4,2,11,5,8,0,0,0,1,0,0,0,1,0,5,1,4,7,3,2,6,28
P571,1,0,1,2,4,5,1,7,3,5,4,2,7,1,3,7,4,4,3,11,5,7,0,0,0,1,0,0,0,1,0,4,1,6,2,3,7,5,28
P1643,0,0,1,2,5,6,1,3,7,5,6,1,2,7,3,7,4,4,2,1,3,7,0,0,0,1,0,0,0,1,0,4,1,5,7,2,3,6,28
P10,1,1,#NULL!,2,3,5,4,7,6,8,8,8,8,8,8,2,4,4,1,11,5,8,0,0,0,1,0,0,0,1,0,7,1,2,4,3,6,5,28
P1635,0,1,#NULL!,3,5,4,7,2,6,8,8,8,8,8,8,7,1,1,1,8,1,8,0,1,0,0,0,0,0,0,0,7,5,1,3,2,6,4,28
P1442,1,0,1,3,1,6,5,7,4,5,4,7,6,2,3,2,1,1,1,11,5,7,0,1,0,0,0,0,0,0,0,2,7,1,6,4,3,5,28
P535,0,1,#NULL!,3,5,4,1,7,6,8,8,8,8,8,8,7,1,2,1,5,2,8,0,1,0,0,0,0,0,0,0,4,7,1,3,2,6,5,28
P110,0,0,1,3,4,7,2,5,1,5,5,7,6,1,2,7,1,2,1,5,3,7,0,1,0,0,0,0,0,0,0,6,4,1,2,5,7,3,28
P1222,1,0,1,3,4,5,7,2,1,4,3,1,5,7,2,7,1,2,1,11,5,7,0,1,0,0,0,0,0,0,0,6,5,1,2,3,7,4,28
P1254,1,0,1,3,5,1,7,4,2,4,5,7,1,6,3,7,1,2,2,11,5,7,0,1,0,0,0,0,0,0,0,3,6,1,5,2,7,4,28
P1,1,1,#NULL!,3,6,1,5,7,2,8,8,8,8,8,8,2,1,2,3,11,5,8,0,1,0,0,0,0,0,0,0,3,6,1,7,4,2,5,28
P364,1,1,#NULL!,3,4,5,1,7,6,8,8,8,8,8,8,2,1,2,1,11,5,8,0,1,0,0,0,0,0,0,0,4,7,1,2,3,6,5,28
P483,1,1,#NULL!,3,7,1,5,6,4,8,8,8,8,8,8,2,1,2,2,11,5,8,0,1,0,0,0,0,0,0,0,3,7,1,6,4,5,2,28
P987,1,1,#NULL!,3,1,5,7,2,4,8,8,8,8,8,8,7,1,2,1,11,5,8,0,1,0,0,0,0,0,0,0,2,5,1,6,3,7,4,28
P1078,1,1,#NULL!,3,4,1,2,5,7,8,8,8,8,8,8,7,1,2,1,11,5,8,0,1,0,0,0,0,0,0,0,3,4,1,2,5,7,6,28
P1289,1,0,0,3,1,4,2,5,7,8,8,8,8,8,8,7,1,2,1,11,5,8,0,1,0,0,0,0,0,0,0,2,4,1,3,5,7,6,28
P885,1,0,1,3,1,4,2,5,7,5,7,3,1,7,4,2,1,2,1,11,5,7,0,1,0,0,0,0,0,0,0,2,4,1,3,5,7,6,28
P1139,1,0,1,3,5,2,6,1,4,5,7,4,2,1,6,7,1,2,1,11,5,2,0,1,0,0,0,0,0,0,0,5,3,1,6,2,4,7,28
P1170,1,0,1,3,2,6,5,4,7,3,5,4,2,6,7,2,1,2,2,11,5,2,0,1,0,0,0,0,0,0,0,7,2,1,5,4,3,6,28
P1203,1,0,1,3,6,5,2,1,7,4,5,6,3,7,1,2,1,2,3,11,5,7,0,1,0,0,0,0,0,0,0,5,4,1,7,3,2,6,28
P993,1,0,1,3,1,6,2,5,7,3,2,5,7,4,6,7,1,2,4,11,5,2,0,1,0,0,0,0,0,0,0,2,4,1,7,5,3,6,28
P76,1,0,1,3,5,2,7,4,6,4,5,7,2,3,6,7,1,2,4,11,5,7,0,1,0,0,0,0,0,0,0,7,3,1,5,2,6,4,28
P209,1,0,0,3,5,6,7,1,2,8,8,8,8,8,8,2,1,2,1,11,5,8,0,1,0,0,0,0,0,0,0,5,6,1,7,2,3,4,28
P442,1,0,0,3,1,2,5,7,4,8,8,8,8,8,8,2,1,2,2,11,5,8,0,1,0,0,0,0,0,0,0,2,3,1,6,4,7,5,28
P1354,1,0,1,3,5,2,7,6,4,5,3,7,6,2,4,2,1,2,2,11,5,2,0,1,0,0,0,0,0,0,0,7,3,1,6,2,5,4,28
P1130,1,0,1,3,7,2,6,5,4,5,7,4,2,3,1,2,1,2,2,11,5,2,0,1,0,0,0,0,0,0,0,7,3,1,6,5,4,2,28
P598,1,0,1,3,2,7,4,5,6,5,7,4,3,6,2,2,1,2,1,11,5,2,0,1,0,0,0,0,0,0,0,7,2,1,4,5,6,3,28
P1530,1,0,0,3,6,5,1,2,7,8,8,8,8,8,8,2,1,2,1,11,5,8,0,1,0,0,0,0,0,0,0,4,5,1,7,3,2,6,28
P686,1,0,1,3,1,2,5,6,7,5,3,1,7,6,2,2,1,2,1,11,5,7,0,1,0,0,0,0,0,0,0,2,3,1,7,4,5,6,28
P1162,1,1,#NULL!,3,5,1,4,7,6,8,8,8,8,8,8,6,1,2,4,11,5,8,0,1,0,0,0,0,0,0,0,3,7,1,4,2,6,5,28
P723,1,0,1,3,1,6,5,4,7,4,5,7,1,6,3,3,1,2,4,11,5,7,0,1,0,0,0,0,0,0,0,2,7,1,5,4,3,6,28
P78,1,1,#NULL!,3,6,5,4,2,7,8,8,8,8,8,8,7,1,2,3,11,5,8,0,1,0,0,0,0,0,0,0,7,5,1,4,3,2,6,28
P804,1,1,#NULL!,3,7,6,1,4,5,8,8,8,8,8,8,6,1,2,1,11,5,8,0,1,0,0,0,0,0,0,0,4,7,1,5,6,3,2,28
P612,1,1,#NULL!,3,1,4,6,5,7,8,8,8,8,8,8,7,4,3,1,11,5,8,0,1,0,0,0,0,0,0,0,2,7,1,3,5,4,6,28
P424,1,0,1,3,2,4,1,7,6,4,6,2,7,5,3,3,4,3,1,11,5,7,0,1,0,0,0,0,0,0,0,4,2,1,3,7,6,5,28
P1075,1,0,1,3,1,2,4,6,7,3,5,4,1,6,2,6,4,3,1,11,5,7,0,1,0,0,0,0,0,0,0,2,3,1,4,7,5,6,28
P1119,1,0,1,3,5,4,7,1,2,5,4,3,7,1,6,2,4,3,2,11,5,7,0,1,0,0,0,0,0,0,0,5,6,1,3,2,7,4,28
P175,1,1,#NULL!,3,5,4,1,7,2,8,8,8,8,8,8,2,4,3,1,11,5,8,0,1,0,0,0,0,0,0,0,4,6,1,3,2,7,5,28
P379,1,1,#NULL!,3,5,7,4,1,2,8,8,8,8,8,8,7,4,3,2,11,5,8,0,1,0,0,0,0,0,0,0,5,6,1,4,2,7,3,28
P400,0,1,#NULL!,3,2,5,7,4,1,8,8,8,8,8,8,2,4,3,2,5,3,8,0,1,0,0,0,0,0,0,0,6,2,1,5,3,7,4,28
P618,1,1,#NULL!,3,5,7,2,6,1,8,8,8,8,8,8,2,4,3,1,11,5,8,0,1,0,0,0,0,0,0,0,6,4,1,7,2,5,3,28
P720,1,1,#NULL!,3,2,1,7,5,4,8,8,8,8,8,8,6,4,3,1,11,5,8,0,1,0,0,0,0,0,0,0,3,2,1,6,5,7,4,28
P1295,0,1,#NULL!,3,2,5,4,1,6,8,8,8,8,8,8,7,4,3,1,5,3,8,0,1,0,0,0,0,0,0,0,5,2,1,4,3,6,7,28
P1272,1,0,0,3,6,2,1,7,4,8,8,8,8,8,8,3,4,3,1,11,5,8,0,1,0,0,0,0,0,0,0,4,3,1,6,7,2,5,28
P69,1,0,1,3,5,4,1,2,6,3,4,5,2,1,7,7,4,3,2,11,5,7,0,1,0,0,0,0,0,0,0,4,5,1,3,2,6,7,28
P75,1,0,1,3,5,7,4,1,2,5,4,2,7,3,1,2,4,3,2,11,5,7,0,1,0,0,0,0,0,0,0,5,6,1,4,2,7,3,28
P220,1,0,1,3,1,2,5,6,7,3,5,1,2,7,6,2,4,3,1,11,5,2,0,1,0,0,0,0,0,0,0,2,3,1,7,4,5,6,28
P428,1,0,1,3,2,4,1,6,5,4,5,7,2,3,6,7,4,3,4,11,5,7,0,1,0,0,0,0,0,0,0,4,2,1,3,6,5,7,28
P703,1,0,1,3,4,5,1,2,6,3,4,1,5,2,6,7,4,3,1,11,5,7,0,1,0,0,0,0,0,0,0,4,5,1,2,3,6,7,28
P852,1,0,1,3,1,7,4,5,2,1,5,4,6,7,2,2,4,3,3,11,5,7,0,1,0,0,0,0,0,0,0,2,6,1,4,5,7,3,28
P1155,1,0,1,3,6,1,2,5,4,3,6,1,2,5,4,7,4,3,2,11,5,7,0,1,0,0,0,0,0,0,0,3,4,1,6,5,2,7,28
P1228,1,0,1,3,5,2,6,7,1,3,5,1,2,6,7,7,4,3,2,11,5,7,0,1,0,0,0,0,0,0,0,6,3,1,7,2,4,5,28
P1315,1,0,1,3,5,7,5,6,2,7,5,3,2,6,4,2,4,3,2,11,5,2,0,1,0,0,0,0,0,0,0,7,6,1,0,4,5,3,26
P1457,1,0,1,3,5,6,2,1,7,5,3,7,2,6,4,2,4,3,1,11,5,7,0,1,0,0,0,0,0,0,0,5,4,1,7,2,3,6,28
P1469,1,0,1,3,1,7,4,5,2,5,7,6,2,3,1,2,4,3,1,11,5,7,0,1,0,0,0,0,0,0,0,2,6,1,4,5,7,3,28
P568,1,1,#NULL!,3,5,7,2,6,1,8,8,8,8,8,8,2,4,3,2,11,5,8,0,1,0,0,0,0,0,0,0,6,4,1,7,2,5,3,28
P887,1,1,#NULL!,3,5,2,1,6,7,8,8,8,8,8,8,7,4,3,1,11,5,8,0,1,0,0,0,0,0,0,0,4,3,1,7,2,5,6,28
P888,1,0,1,3,1,2,5,6,7,5,3,1,2,6,7,7,4,3,1,11,5,7,0,1,0,0,0,0,0,0,0,2,3,1,7,4,5,6,28
P128,0,0,1,3,1,5,2,7,4,4,5,7,6,2,3,3,4,3,1,5,3,7,0,1,0,0,0,0,0,0,0,2,4,1,6,3,7,5,28
P1378,1,0,1,3,5,1,4,7,6,5,1,7,4,6,3,7,4,3,1,11,5,7,0,1,0,0,0,0,0,0,0,3,7,1,4,2,6,5,28
P1021,1,1,#NULL!,3,5,2,7,4,6,8,8,8,8,8,8,7,4,3,2,11,5,8,0,1,0,0,0,0,0,0,0,7,3,1,5,2,6,4,28
P1230,0,1,#NULL!,3,2,6,5,7,4,8,8,8,8,8,8,2,4,3,1,5,3,8,0,1,0,0,0,0,0,0,0,7,2,1,6,4,3,5,28
P1233,0,0,1,3,2,6,5,7,4,5,7,3,2,6,1,2,4,3,1,5,3,2,0,1,0,0,0,0,0,0,0,7,2,1,6,4,3,5,28
P869,1,1,#NULL!,3,1,4,6,7,2,8,8,8,8,8,8,7,4,3,4,11,5,8,0,1,0,0,0,0,0,0,0,2,6,1,3,7,4,5,28
P1199,1,0,1,3,5,6,2,1,1,5,4,7,3,6,1,3,4,3,3,11,5,7,0,1,0,0,0,0,0,0,0,6,4,1,7,2,3,0,23
P521,1,1,#NULL!,3,5,6,4,7,2,8,8,8,8,8,8,2,4,3,2,11,5,8,0,1,0,0,0,0,0,0,0,7,6,1,4,2,3,5,28
P865,1,1,#NULL!,3,1,5,2,7,6,8,8,8,8,8,8,2,4,3,1,11,5,8,0,1,0,0,0,0,0,0,0,2,4,1,7,3,6,5,28
P649,1,0,1,3,1,2,6,5,4,3,5,4,1,6,2,7,4,3,2,11,5,7,0,1,0,0,0,0,0,0,0,2,3,1,6,5,4,7,28
P741,1,0,1,3,5,1,2,6,4,3,5,1,2,4,7,2,4,3,1,11,5,2,0,1,0,0,0,0,0,0,0,3,4,1,6,2,5,7,28
P1402,0,0,1,3,5,7,2,5,6,6,2,5,7,4,1,2,4,3,1,5,3,7,0,1,0,0,0,0,0,0,0,7,4,1,0,5,6,3,26
P438,1,1,#NULL!,3,5,7,4,2,6,8,8,8,8,8,8,2,4,3,2,11,5,8,0,1,0,0,0,0,0,0,0,7,5,1,4,2,6,3,28
P725,1,1,#NULL!,3,7,2,5,1,4,8,8,8,8,8,8,2,4,3,2,11,5,8,0,1,0,0,0,0,0,0,0,5,3,1,6,4,7,2,28
P931,1,1,#NULL!,3,7,5,2,4,6,8,8,8,8,8,8,2,4,3,1,11,5,8,0,1,0,0,0,0,0,0,0,7,4,1,5,3,6,2,28
P943,1,0,1,3,5,7,1,4,6,5,4,7,6,3,1,2,4,3,1,11,5,7,0,1,0,0,0,0,0,0,0,4,7,1,5,2,6,3,28
P614,1,0,1,3,4,1,5,6,2,4,1,3,6,5,7,7,4,4,2,11,5,7,0,1,0,0,0,0,0,0,0,3,6,1,2,4,5,7,28
P917,1,0,1,3,5,6,7,4,1,1,6,4,5,7,3,2,4,4,1,11,5,7,0,1,0,0,0,0,0,0,0,6,7,1,5,2,3,4,28
P713,1,0,1,3,5,2,7,1,4,3,5,7,2,4,1,2,4,4,2,11,5,2,0,1,0,0,0,0,0,0,0,5,3,1,6,2,7,4,28
P96,1,1,#NULL!,3,5,7,4,2,6,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,7,5,1,4,2,6,3,28
P130,1,1,#NULL!,3,1,4,5,6,7,8,8,8,8,8,8,7,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,2,7,1,3,4,5,6,28
P141,1,1,#NULL!,3,5,4,1,7,6,8,8,8,8,8,8,7,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,4,7,1,3,2,6,5,28
P145,1,1,#NULL!,3,5,1,4,2,6,8,8,8,8,8,8,7,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,3,5,1,4,2,6,7,28
P263,0,1,#NULL!,3,6,5,7,4,2,8,8,8,8,8,8,7,4,4,1,1,3,8,0,1,0,0,0,0,0,0,0,7,6,1,5,3,2,4,28
P444,1,1,#NULL!,3,1,5,4,7,6,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,2,7,1,4,3,6,5,28
P445,1,1,#NULL!,3,5,7,2,1,4,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,5,4,1,6,2,7,3,28
P489,1,1,#NULL!,3,4,2,1,7,7,8,8,8,8,8,8,2,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,4,3,1,2,7,0,6,23
P573,1,1,#NULL!,3,6,2,1,7,5,8,8,8,8,8,8,2,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,4,3,1,7,6,2,5,28
P670,1,1,#NULL!,3,5,4,2,1,7,8,8,8,8,8,8,6,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,5,4,1,3,2,7,6,28
P755,1,1,#NULL!,3,1,5,4,6,7,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,2,7,1,4,3,5,6,28
P920,1,1,#NULL!,3,1,5,7,6,4,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,2,7,1,6,3,5,4,28
P937,1,1,#NULL!,3,5,1,4,2,7,8,8,8,8,8,8,7,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,3,5,1,4,2,7,6,28
P945,1,1,#NULL!,3,5,4,7,2,6,8,8,8,8,8,8,2,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,7,5,1,3,2,6,4,28
P976,1,1,#NULL!,3,2,4,5,1,7,8,8,8,8,8,8,2,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,5,2,1,3,4,7,6,28
P988,1,1,#NULL!,3,2,5,4,7,1,8,8,8,8,8,8,2,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,6,2,1,4,3,7,5,28
P1006,1,1,#NULL!,3,5,4,7,1,2,8,8,8,8,8,8,2,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,5,6,1,3,2,7,4,28
P1071,1,1,#NULL!,3,1,2,5,4,6,8,8,8,8,8,8,2,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,2,3,1,5,4,6,7,28
P1110,1,1,#NULL!,3,2,5,4,1,6,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,5,2,1,4,3,6,7,28
P1143,1,1,#NULL!,3,1,4,5,7,6,8,8,8,8,8,8,2,4,4,3,11,5,8,0,1,0,0,0,0,0,0,0,2,7,1,3,4,6,5,28
P1415,1,1,#NULL!,3,6,1,4,2,5,8,8,8,8,8,8,2,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,3,5,1,4,6,2,7,28
P1416,1,1,#NULL!,3,6,5,4,7,2,8,8,8,8,8,8,7,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,7,6,1,4,3,2,5,28
P1579,1,1,#NULL!,3,7,6,5,4,1,8,8,8,8,8,8,7,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,6,7,1,5,4,3,2,28
P1580,1,1,#NULL!,3,4,1,5,7,2,8,8,8,8,8,8,7,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,3,6,1,2,4,7,5,28
P1610,1,1,#NULL!,3,4,1,6,2,5,8,8,8,8,8,8,3,4,4,4,11,5,8,0,1,0,0,0,0,0,0,0,3,5,1,2,6,4,7,28
P1687,1,1,#NULL!,3,5,1,6,2,7,8,8,8,8,8,8,2,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,3,5,1,7,2,4,6,28
P1703,0,1,#NULL!,3,1,2,6,5,7,8,8,8,8,8,8,2,4,4,1,5,2,8,0,1,0,0,0,0,0,0,0,2,3,1,7,5,4,6,28
P639,1,0,0,3,5,4,6,1,7,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,5,7,1,3,2,4,6,28
P43,1,0,1,3,5,2,4,6,7,5,6,3,1,7,4,6,4,4,1,11,5,7,0,1,0,0,0,0,0,0,0,7,3,1,4,2,5,6,28
P92,1,0,1,3,7,5,4,1,2,5,7,1,4,2,3,2,4,4,2,11,5,7,0,1,0,0,0,0,0,0,0,5,6,1,4,3,7,2,28
P119,1,0,1,3,4,7,5,2,1,4,5,7,3,1,2,2,4,4,2,11,5,2,0,1,0,0,0,0,0,0,0,6,5,1,2,4,7,3,28
P288,1,0,1,3,4,6,5,2,7,7,6,5,4,3,1,7,4,4,1,11,5,2,0,1,0,0,0,0,0,0,0,7,5,1,2,4,3,6,28
P305,1,0,1,3,4,6,5,1,7,6,7,4,5,1,3,2,4,4,1,11,5,7,0,1,0,0,0,0,0,0,0,5,7,1,2,4,3,6,28
P347,1,0,1,3,1,5,4,2,6,3,5,1,2,6,4,7,4,4,1,11,5,7,0,1,0,0,0,0,0,0,0,2,5,1,4,3,6,7,28
P407,1,0,1,3,5,7,6,1,2,4,5,6,7,2,1,2,4,4,2,11,5,7,0,1,0,0,0,0,0,0,0,5,6,1,7,2,4,3,28
P469,1,0,1,3,4,1,5,7,2,3,4,5,7,1,6,2,4,4,2,11,5,2,0,1,0,0,0,0,0,0,0,3,6,1,2,4,7,5,28
P520,1,0,1,3,5,4,1,2,6,3,5,1,4,6,2,7,4,4,1,11,5,7,0,1,0,0,0,0,0,0,0,4,5,1,3,2,6,7,28
P592,1,0,1,3,7,5,4,2,1,3,5,7,4,1,2,2,4,4,1,11,5,2,0,1,0,0,0,0,0,0,0,6,5,1,4,3,7,2,28
P613,1,0,1,3,1,7,4,5,6,5,4,7,1,3,6,2,4,4,1,11,5,7,0,1,0,0,0,0,0,0,0,2,7,1,4,5,6,3,28
P633,1,0,1,3,1,4,5,7,6,4,5,1,7,6,6,2,4,4,4,11,5,7,0,1,0,0,0,0,0,0,0,2,7,1,3,4,6,5,28
P647,1,0,1,3,6,2,5,4,5,3,6,1,2,5,4,2,4,4,2,11,5,2,0,1,0,0,0,0,0,0,0,7,3,1,5,6,2,0,24
P862,1,0,1,3,1,4,2,5,7,3,1,5,2,4,7,2,4,4,4,11,5,2,0,1,0,0,0,0,0,0,0,2,4,1,3,5,7,6,28
P894,1,0,1,3,5,1,7,2,6,5,4,7,3,2,6,2,4,4,1,11,5,7,0,1,0,0,0,0,0,0,0,3,5,1,7,2,6,4,28
P997,1,0,1,3,1,4,5,7,2,5,4,7,1,6,3,6,4,4,1,11,5,7,0,1,0,0,0,0,0,0,0,2,6,1,3,4,7,5,28
P998,1,0,1,3,6,4,1,2,5,4,6,5,2,7,3,3,4,4,4,11,5,7,0,1,0,0,0,0,0,0,0,4,5,1,3,6,2,7,28
P1036,1,0,1,3,4,5,7,1,4,5,4,7,1,3,6,7,4,4,1,11,5,7,0,1,0,0,0,0,0,0,0,5,7,1,6,3,0,4,26
P1145,1,0,1,3,4,1,5,6,7,4,5,1,6,3,7,7,4,4,1,11,5,7,0,1,0,0,0,0,0,0,0,3,7,1,2,4,5,6,28
P1292,1,0,1,3,5,6,4,2,7,7,4,5,6,3,2,2,4,4,2,11,5,2,0,1,0,0,0,0,0,0,0,7,5,1,4,2,3,6,28
P1325,1,0,1,3,1,1,5,6,4,3,1,5,6,4,2,7,4,4,1,11,5,7,0,1,0,0,0,0,0,0,0,3,7,1,6,4,5,0,26
P1423,1,0,1,3,4,2,6,1,5,2,5,4,6,3,1,2,4,4,1,11,5,2,0,1,0,0,0,0,0,0,0,5,3,1,2,6,4,7,28
P1522,1,0,1,3,1,4,2,5,7,5,4,7,1,2,3,2,4,4,1,11,5,7,0,1,0,0,0,0,0,0,0,2,4,1,3,5,7,6,28
P1529,1,0,1,3,5,6,2,7,1,3,1,5,6,2,7,2,4,4,2,11,5,2,0,1,0,0,0,0,0,0,0,6,4,1,7,2,3,5,28
P1611,1,0,1,3,1,4,5,2,7,3,1,4,5,7,6,2,4,4,1,11,5,2,0,1,0,0,0,0,0,0,0,2,5,1,3,4,7,6,28
P1677,1,0,1,3,4,5,7,1,6,5,4,3,1,7,6,2,4,4,2,11,5,7,0,1,0,0,0,0,0,0,0,5,7,1,2,3,6,4,28
P973,1,1,#NULL!,3,6,5,7,2,1,8,8,8,8,8,8,2,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,6,5,1,7,3,2,4,28
P47,1,1,#NULL!,3,5,4,2,7,1,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,6,4,1,3,2,7,5,28
P58,1,1,#NULL!,3,4,2,5,1,7,8,8,8,8,8,8,7,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,5,3,1,2,4,7,6,28
P70,1,1,#NULL!,3,5,2,7,4,1,8,8,8,8,8,8,2,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,6,3,1,5,2,7,4,28
P73,1,1,#NULL!,3,4,5,7,6,1,8,8,8,8,8,8,7,4,4,4,11,5,8,0,1,0,0,0,0,0,0,0,6,7,1,2,3,5,4,28
P91,1,1,#NULL!,3,5,2,6,1,7,8,8,8,8,8,8,2,4,4,3,11,5,8,0,1,0,0,0,0,0,0,0,5,3,1,7,2,4,6,28
P93,1,1,#NULL!,3,5,4,7,1,6,8,8,8,8,8,8,3,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,5,7,1,3,2,6,4,28
P94,1,1,#NULL!,3,5,2,7,4,6,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,7,3,1,5,2,6,4,28
P95,1,1,#NULL!,3,6,2,5,7,1,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,6,3,1,7,4,2,5,28
