What is the name of the dog you would like to submit a response for?,How long were you thinking about adding a new dog to the family  before you brought {{field:dog_name}} home?,What was your primary motivation for getting {{field:dog_name}}?,Where did you acquire {{field:dog_name}} from?,Please select the characteristic you found most important when choosing {{field:dog_name}}.,"Your number 1 choice is {{field:char_1_1}}.
What was the next most important characteristic?","Your rankings so far:
1. {{field:char_1_1}}
2. {{field:char_1_2}}
What was the next most important characteristic?","Your rankings so far:
1. {{field:char_1_1}}
2. {{field:char_1_2}}
3. {{field:char_1_3}}
What was the next most important characteristic?","Your rankings so far:
1. {{field:char_1_1}}
2. {{field:char_1_2}}
3. {{field:char_1_3}}
4. {{field:char_1_4}}
What was the next most important characteristic?","Your rankings so far:
1. {{field:char_1_1}}
2. {{field:char_1_2}}
3. {{field:char_1_3}}
4. {{field:char_1_4}}
5. {{field:char_1_5}}
What was the next most important characteristic?",Were your primary relationship expectations met?,Do you still live with {{field:dog_name}}?,How long did you and {{field:dog_name}} live together?,Where is {{field:dog_name}} now?,Would you like to enter information for another dog you own(ed)?,Would you ever consider bringing another dog into your life?,Please select the characteristic you find most important from the list.,"Your number 1 choice is {{field:char_2_1}}.
What is next most important characteristic?","Your rankings so far:
1. {{field:char_2_1}}
2. {{field:char_2_2}}
What is next most important characteristic?","Your rankings so far:
1. {{field:char_2_1}}
2. {{field:char_2_2}}
3. {{field:char_2_3}}
What is next most important characteristic?","Your rankings so far:
1. {{field:char_2_1}}
2. {{field:char_2_2}}
3. {{field:char_2_3}}
4. {{field:char_2_4}}
What is next most important characteristic?","Your rankings so far:
1. {{field:char_2_1}}
2. {{field:char_2_2}}
3. {{field:char_2_3}}
4. {{field:char_2_4}}
5. {{field:char_2_5}}
What is next most important characteristic?","If you were to bring another dog into your life, where are you likely to get that dog?",id,msg,list,sep,Submitted At,Token
Bjorn,1 week - 6 months,Companionship and affection,Shelter/Rescue,Breed,Age,Trainability,Compatability with other pets in the home,Size,Appearance,Yes,True,,,True,,,,,,,,,606eb2a4e60ee6e32cdfeba7f3ff7c65,,, ,2/14/2020 0:59:15,wvbzee6hmqwud983a90vgmwvbzee66wl
Coco,Less than 1 week,Was called and asked to take this dog with medical problems,Shelter/Rescue,Individual personality/behavior,Compatability with other pets in the home,Trainability,Breed,Size,Age,Yes,True,,,False,True,Trainability,Compatability with other pets in the home,Individual personality/behavior,Size,Age,Breed,Shelter/Rescue,fb20bbafb41311027da4224a44807ad0,We have submissions for:,,", ",2/14/2020 1:02:44,jda5rz2mwdyadqlt9bajda5rzcii05qf
Anya,1 week - 6 months,Companionship and affection,Shelter/Rescue,Size,Breed,Age,Compatability with other pets in the home,Trainability,Appearance,"Partially, I accepted the dog and made it work",True,,,True,,,,,,,,,606eb2a4e60ee6e32cdfeba7f3ff7c65,We have submissions for:,,", ",2/14/2020 1:00:56,6uobu6k2fm1mdb65qe56uobuoqoqtzu5
Mya,6+ months - 6 years,"Exercise, adventure partner",Breeder,Trainability,Individual personality/behavior,Breed,Compatability with other pets in the home,Age,Size,Yes,True,,,True,,,,,,,,,9afdcce19285b02be10cab2ecc7f6950,,, ,2/14/2020 1:02:14,gqmq9gsvef6vz7j1wgqmq9g5t8ggz8li
Shakti,1 week - 6 months,Companionship and affection,Shelter/Rescue,Size,Age,Compatability with other pets in the home,Breed,Individual personality/behavior,Appearance,"Partially, I grew to love the dog over time",True,,,False,True,Breed,Age,Size,Trainability,Compatability with other pets in the home,Individual personality/behavior,Shelter/Rescue,606eb2a4e60ee6e32cdfeba7f3ff7c65,We have submissions for:,,", ",2/14/2020 1:05:13,k9zvalt7n4bkvicdttk9zvarvn6tb50g
Rio,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Size,Age,Breed,Trainability,Appearance,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Age,Size,Trainability,Breed,Shelter/Rescue,7893c10d72efd13c39b1d385efb21b38,,, ,2/14/2020 1:05:05,yquysakwyy7mpybliqlyquylmb6szf8r
Solo,6+ months - 6 years,"Someone else in the home wanted a dog (e.g. kids, spouse)",Breeder,Breed,Age,Individual personality/behavior,Compatability with other pets in the home,Trainability,Appearance,Yes,True,,,False,False,,,,,,,,9afdcce19285b02be10cab2ecc7f6950,We have submissions for:,,", ",2/14/2020 1:04:15,qd8wkya9w678j1sw0afqd8wkyatas4uw
Asta,6+ months - 6 years,Working or sporting,Breeder,Individual personality/behavior,Size,Compatability with other pets in the home,Appearance,Appearance,Age,Yes,True,,,True,,,,,,,,,3155b90daf2afd72875fa26b53fad3c8,,, ,2/14/2020 1:06:07,exk8q9iz2ewesg6u86i4exk85elp5n9v
Karmella,6+ years,Companionship and affection,Online,Trainability,Age,Size,Breed,Individual personality/behavior,Compatability with other pets in the home,Yes,True,,,True,,,,,,,,,7daf339c78596abb679a370e9ca955f7,,, ,2/14/2020 1:06:08,h42vkjwoz0bqldrz1h42vpns4sn9wwov
Annabelle,1 week - 6 months,Companion for another dog or pet,Shelter/Rescue,Trainability,Compatability with other pets in the home,Individual personality/behavior,Age,Size,Breed,Yes,True,,,False,True,Individual personality/behavior,Trainability,Compatability with other pets in the home,Age,Size,Breed,Breeder,7daf339c78596abb679a370e9ca955f7,We have submissions for:,,", ",2/14/2020 1:07:47,qzm5406cbjpkd4swbjqzm5495dw5aj4p
Avery,6+ months - 6 years,Working or sporting,Breeder,Compatability with other pets in the home,Individual personality/behavior,Trainability,Size,Appearance,Age,Yes,True,,,True,,,,,,,,,3155b90daf2afd72875fa26b53fad3c8,We have submissions for:,,", ",2/14/2020 1:07:49,3da6qt8rf6u431np3da6q69i2wg2uhk1
Moony,6+ months - 6 years,Companionship and affection,Breeder,Breed,Individual personality/behavior,Age,Appearance,Trainability,Size,Yes,True,,,True,,,,,,,,,7dd1f8eacb783aa0ec257424f46a3361,,, ,2/14/2020 1:09:44,7npkzyqq8etjjx97gol8eb5lh9bzrwcr
Einstein,1 week - 6 months,Companionship and affection,Breeder,Breed,Trainability,Size,Individual personality/behavior,Appearance,Age,Yes,True,,,False,True,Breed,Trainability,Compatability with other pets in the home,Size,Age,Appearance,Breeder,1edfd35c1e608eabbb35725170247da8,,, ,2/14/2020 1:11:15,kg9n05jr05z40w9clkg9n05j4bssvzec
Echo,1 week - 6 months,Companionship and affection,Breeder,Individual personality/behavior,Compatability with other pets in the home,Trainability,Appearance,Age,Size,Yes,True,,,False,True,Compatability with other pets in the home,Trainability,Individual personality/behavior,Size,Appearance,Age,Breeder,3155b90daf2afd72875fa26b53fad3c8,We have submissions for:,,", ",2/14/2020 1:09:37,zh7700cql3v76tbfbznfayzh7709fqqz
Sunny,6+ months - 6 years,Companion for another dog or pet,Breeder,Breed,Compatability with other pets in the home,Age,Individual personality/behavior,Trainability,Appearance,Yes,True,,,False,True,Breed,Compatability with other pets in the home,Individual personality/behavior,Trainability,Age,Size,Breeder,7dd1f8eacb783aa0ec257424f46a3361,We have submissions for:,,", ",2/14/2020 1:13:26,gu2xii9iocjl7e0ybvjgu2xix9we3qh7
Troy Laddie,1 week - 6 months,Companion for another dog or pet,Family member or friend,Individual personality/behavior,Breed,Trainability,Appearance,Age,Compatability with other pets in the home,Yes,True,,,False,True,Appearance,Breed,Size,Trainability,Compatability with other pets in the home,Individual personality/behavior,Shelter/Rescue,0143addbe877065bb8d940e6e8901700,,, ,2/14/2020 1:14:35,28b8a8huspqoh28b8wugezsctqnkmkai
Maggie,Less than 1 week,Companionship and affection,Shelter/Rescue,Breed,Individual personality/behavior,Trainability,Compatability with other pets in the home,Age,Appearance,Yes,True,,,True,,,,,,,,,5c0388def22da11db603ea01784eef9c,,, ,2/14/2020 1:19:14,8kufzx3uw598lls8kufe93h1flnkku0h
Hawkeye,6+ months - 6 years,Companionship and affection,Breeder,Individual personality/behavior,Age,Compatability with other pets in the home,Trainability,Breed,Size,Yes,True,,,True,,,,,,,,,0937dd7b301aeae907eed88b17b7ca13,,, ,2/14/2020 1:20:00,51y8nh2a43poa5xthdcah85551y8nh20
Brie,1 week - 6 months,"Exercise, adventure partner",Shelter/Rescue,Individual personality/behavior,Trainability,Size,Compatability with other pets in the home,Age,Breed,Yes,True,,,True,,,,,,,,,b5de5a96c666676db61627675446f0e3,,, ,2/14/2020 1:21:08,crakc3dgin9of00h8xcra81vmv3uxp2i
Nova,1 week - 6 months,Companion for another dog or pet,Shelter/Rescue,Individual personality/behavior,Compatability with other pets in the home,Age,Trainability,Breed,Size,Yes,True,,,True,,,,,,,,,0937dd7b301aeae907eed88b17b7ca13,We have submissions for:,,", ",2/14/2020 1:21:40,bm7z8m5os0tp6vd7bm7if92tnn3sv00i
Kyp,1 week - 6 months,Working or sporting,Breeder,Breed,Trainability,Individual personality/behavior,Age,Appearance,Compatability with other pets in the home,Yes,True,,,False,True,Breed,Trainability,Individual personality/behavior,Age,Appearance,Compatability with other pets in the home,Breeder,90ae0cf3d77830d11a7d0641ba869903,,, ,2/14/2020 1:23:38,blldfoh5lvd3imk745ablldfo6cviqnh
Kira,6+ years,Companionship and affection,Online,Appearance,Age,Size,Compatability with other pets in the home,Breed,Individual personality/behavior,Yes,True,,,False,True,Breed,Size,Trainability,Individual personality/behavior,Age,Compatability with other pets in the home,Breeder,13fac28db1f23fa46fd8d1205e17df4e,,, ,2/14/2020 1:23:31,qlr9j568whotv06owe0gf3qlr9j505mw
Jj,1 week - 6 months,Her original owner no longer wanted her and offered her to me as a gift,Breeder,Individual personality/behavior,Compatability with other pets in the home,Trainability,Age,Size,Breed,"Partially, I grew to love the dog over time",True,,,True,,,,,,,,,b5de5a96c666676db61627675446f0e3,We have submissions for:,,", ",2/14/2020 1:22:59,kdr0uyecxtfd0r0hiqo79dkdr0uybfkb
Murdock,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Age,Trainability,Breed,Size,Appearance,Yes,False,6+ years,Euthanized,True,,,,,,,,,0937dd7b301aeae907eed88b17b7ca13,We have submissions for:,,", ",2/14/2020 1:23:36,etw6vpej93k4nwetw6vg6csjs1bv4eof
Jenga,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Compatability with other pets in the home,Age,Trainability,Breed,Size,Yes,False,6+ years,Passed,True,,,,,,,,,0937dd7b301aeae907eed88b17b7ca13,We have submissions for:,,", ",2/14/2020 1:24:41,tdolhz7ifc44moamunoedtdolhz75avl
Harley,1 week - 6 months,Companion for another dog or pet,Online,Appearance,Size,Breed,Age,Individual personality/behavior,Compatability with other pets in the home,"Partially, I accepted the dog and made it work",True,,,True,,,,,,,,,e92129b3b8dc6cadad367b0eef2048f3,,, ,2/14/2020 1:26:18,2bon0l9bx14phuao2bhsyjehb7jigkmz
Pepper,1 week - 6 months,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Compatability with other pets in the home,Trainability,Appearance,Size,Breed,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Trainability,Age,Breed,Size,Breeder,0937dd7b301aeae907eed88b17b7ca13,We have submissions for:,,", ",2/14/2020 1:26:48,tbejwm9145eialgcwfrtbejwm99m2r8s
Nico,1 week - 6 months,Companion for another dog or pet,Shelter/Rescue,Appearance,Size,Breed,Age,Compatability with other pets in the home,Individual personality/behavior,"Partially, I grew to love the dog over time",False,6+ months - 6 years,Passed,False,True,Size,Age,Breed,Appearance,Individual personality/behavior,Compatability with other pets in the home,Online,e92129b3b8dc6cadad367b0eef2048f3,We have submissions for:,,", ",2/14/2020 1:30:01,wfvslm46e0sfnuy2bul5uwfvslm49a0k
Tomi,6+ months - 6 years,Companionship and affection,Breeder,Breed,Trainability,Age,Individual personality/behavior,Size,Compatability with other pets in the home,"Partially, I accepted the dog and made it work",True,,,True,,,,,,,,,f4ba7d6cbc2b6620b14a71860a1b0b52,,, ,2/14/2020 1:32:25,6uu7qnj3mdfr5mekdfd6uu7mz6a9zt3h
Winston,6+ months - 6 years,Working or sporting,Shelter/Rescue,Individual personality/behavior,Trainability,Breed,Age,Compatability with other pets in the home,Size,"Partially, I grew to love the dog over time",True,,,False,True,Individual personality/behavior,Trainability,Size,Compatability with other pets in the home,Breed,Appearance,Shelter/Rescue,f4ba7d6cbc2b6620b14a71860a1b0b52,We have submissions for:,,", ",2/14/2020 1:34:50,o7j42qye4snlrs08u09f9o7j42qeekv0
Loki,Less than 1 week,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Compatability with other pets in the home,Size,Age,Appearance,Breed,Yes,True,,,True,,,,,,,,,e9a38f45364c2d7193fb4363e5730e53,,, ,2/14/2020 1:33:41,8g00sh6mt0ajjvlina8g00sh0pwc8qrn
Nuggett,1 week - 6 months,Companionship and affection,Shelter/Rescue,Breed,Age,Size,Compatability with other pets in the home,Appearance,Individual personality/behavior,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Size,Age,Breed,Appearance,Shelter/Rescue,e9a38f45364c2d7193fb4363e5730e53,We have submissions for:,,", ",2/14/2020 1:35:11,nj9r8pzcv2euynj9ac5sah65yanz8u19
Gus,1 week - 6 months,Companionship and affection,Shelter/Rescue,Appearance,Breed,Individual personality/behavior,Size,Age,Trainability,"Partially, I grew to love the dog over time",True,,,False,True,Size,Appearance,Breed,Individual personality/behavior,Trainability,Age,Shelter/Rescue,d3a6b7ee6f42814bd6dcb16556e8355e,,, ,2/14/2020 1:42:01,ii3lhej1vopouryfpqvii3lheadbtpoz
Zero,Less than 1 week,Companionship and affection,Local pet shop,Breed,Individual personality/behavior,Appearance,Compatability with other pets in the home,Trainability,Age,Yes,True,,,True,,,,,,,,,26739fde6e88754f9fa2f9d1a3d48fe7,,, ,2/14/2020 1:40:33,mtop4o0eqvja2w6mtop4o0v79w2upt9i
Finn,1 week - 6 months,Companion for another dog or pet,Breeder,Breed,Compatability with other pets in the home,Appearance,Age,Trainability,Trainability,Yes,True,,,True,,,,,,,,,796cf2f6f66cf06329ecc6067d7419f0,,, ,2/14/2020 1:41:52,c0g3nkoeqa0i6fz4li7nc0g3nj0erqx0
Zelda,1 week - 6 months,Companionship and affection,Family member or friend,Individual personality/behavior,Appearance,Breed,Size,Age,Trainability,Yes,True,,,False,True,Individual personality/behavior,Breed,Compatability with other pets in the home,Trainability,Age,Appearance,Shelter/Rescue,26739fde6e88754f9fa2f9d1a3d48fe7,We have submissions for:,,", ",2/14/2020 1:42:10,kzlpgn3uh9ic7f4kvkzlp3a8o2c7c32x
Mavis,1 week - 6 months,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Size,Age,Compatability with other pets in the home,Trainability,Trainability,Yes,True,,,False,True,Individual personality/behavior,Size,Age,Trainability,Compatability with other pets in the home,Breed,Shelter/Rescue,921629dd4b43022478b5ba1f2ce5e5a1,,, ,2/14/2020 1:45:17,iu62ujjv93ftocq31gniu62lbbn8jn7n
Beans,1 week - 6 months,Companionship and affection,Shelter/Rescue,Age,Appearance,Compatability with other pets in the home,Breed,Individual personality/behavior,Trainability,Yes,True,,,True,,,,,,,,,796cf2f6f66cf06329ecc6067d7419f0,We have submissions for:,,", ",2/14/2020 1:43:37,95uy2sa1jl9wmn595uy29rabapcpwvb4
Kissi,1 week - 6 months,"Exercise, adventure partner",Found roaming,Compatability with other pets in the home,Age,Individual personality/behavior,Size,Trainability,Breed,"Partially, I grew to love the dog over time",True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Trainability,Size,Age,Breed,Shelter/Rescue,32124183b9922988117995bbc6824976,,, ,2/14/2020 1:46:21,317a6kua17o23qvozd317a6kuatdxt3r
Pea,1 week - 6 months,Companion for another dog or pet,Shelter/Rescue,Appearance,Individual personality/behavior,Compatability with other pets in the home,Age,Size,Breed,Yes,True,,,True,,,,,,,,,796cf2f6f66cf06329ecc6067d7419f0,We have submissions for:,,", ",2/14/2020 1:45:02,7lrohoy6iazmx4mvjzo7lrohbyv5t3k4
Flea,1 week - 6 months,Companion for another dog or pet,Shelter/Rescue,Individual personality/behavior,Compatability with other pets in the home,Age,Size,Trainability,Breed,"Partially, I grew to love the dog over time",True,,,True,,,,,,,,,c6a4c3b2d73be6d611b0c13b5b367c7c,,, ,2/14/2020 1:45:24,z7desmabkea1ptvz7de396msrggj5dpy
Lily,1 week - 6 months,Companion for another dog or pet,Family member or friend,Age,Breed,Individual personality/behavior,Appearance,Size,Trainability,Yes,True,,,False,True,Breed,Size,Compatability with other pets in the home,Individual personality/behavior,Appearance,Age,Breeder,796cf2f6f66cf06329ecc6067d7419f0,We have submissions for:,,", ",2/14/2020 1:47:44,gegy2cjsgetp2975gkgegy1zsop0rk4y
Augie,1 week - 6 months,Companion for another dog or pet,Shelter/Rescue,Individual personality/behavior,Compatability with other pets in the home,Age,Size,Trainability,Breed,Yes,True,,,True,,,,,,,,,c6a4c3b2d73be6d611b0c13b5b367c7c,We have submissions for:,,", ",2/14/2020 1:46:50,a3z6802h9pjwovu60a3zol6scewf1dcj
Pickle,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Age,Trainability,Size,Breed,Appearance,Yes,False,6+ years,Euthanized,False,True,Individual personality/behavior,Trainability,Compatability with other pets in the home,Age,Size,Breed,Shelter/Rescue,c6a4c3b2d73be6d611b0c13b5b367c7c,We have submissions for:,,", ",2/14/2020 1:49:04,0czdg2x78lc0i4b8zq0czfc7ysrzdkf0
Lali,1 week - 6 months,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Appearance,Age,Size,Breed,Trainability,Yes,True,,,False,True,Individual personality/behavior,Appearance,Size,Age,Breed,Trainability,Roaming,367990ccdcb74ee83133ce4387dc55e9,,, ,2/14/2020 1:50:58,pulv07tcwi12535pul5msv7wrermd9mh
Hiccup,1 week - 6 months,Companionship and affection,Shelter/Rescue,Breed,Age,Appearance,Size,Trainability,Individual personality/behavior,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Breed,Age,Size,Appearance,Shelter/Rescue,d0ddc6111c50e0c774566ce641976b2c,,, ,2/14/2020 1:53:58,uit5bxrzaudld0h4pb2puit5bx5ra1dn
Cardiff,6+ months - 6 years,Companionship and affection,Breeder,Individual personality/behavior,Size,Appearance,Breed,Age,Compatability with other pets in the home,Yes,True,,,True,,,,,,,,,cff35bf53d04e8606e07cafff0b843f2,,, ,2/14/2020 1:53:55,bhc8kmlqavasjxpgzbhc8394utf5emsy
Indi,1 week - 6 months,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Compatability with other pets in the home,Size,Trainability,Breed,Age,Yes,True,,,True,,,,,,,,,6556a0b440d6b9a9b283186aa464e2b3,,, ,2/14/2020 1:54:20,spcpwd72u9ot81iag17w60spcpwd72uu
Ramona,6+ months - 6 years,Companion for another dog or pet,Shelter/Rescue,Trainability,Age,Individual personality/behavior,Appearance,Size,Compatability with other pets in the home,"Partially, I grew to love the dog over time",True,,,False,True,Breed,Age,Individual personality/behavior,Compatability with other pets in the home,Trainability,Size,Breeder,cff35bf53d04e8606e07cafff0b843f2,We have submissions for:,,", ",2/14/2020 1:55:42,stjbjsu6hrf3cj2x95fwstjbjsv2mdzn
Patience,1 week - 6 months,Patience was a foster dog who had been a feral puppy.  After she became tame with me she was too fearful to put in a new home.,Shelter/Rescue,Individual personality/behavior,Compatability with other pets in the home,Trainability,Breed,Size,Age,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Size,Trainability,Breed,Age,Shelter/Rescue,6556a0b440d6b9a9b283186aa464e2b3,We have submissions for:,,", ",2/14/2020 1:57:25,kc15wytjouaknheietkc15wyhu3i0b61
Max,1 week - 6 months,Companionship and affection,Shelter/Rescue,Appearance,Size,Age,Breed,Individual personality/behavior,Compatability with other pets in the home,"Partially, I accepted the dog and made it work",True,,,False,True,Breed,Size,Age,Individual personality/behavior,Appearance,Compatability with other pets in the home,Shelter/Rescue,3b799c7a00055605e8b4b17f554a5448,,, ,2/14/2020 1:58:18,el7cp2m410rthraolz1urwel7cp26600
Chaz,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Compatability with other pets in the home,Trainability,Individual personality/behavior,Age,Appearance,Size,Yes,True,,,False,True,Trainability,Individual personality/behavior,Compatability with other pets in the home,Breed,Size,Age,Shelter/Rescue,c425e8e7ef69467ca1700ba8282f737b,,, ,2/14/2020 2:04:26,y4wrteqibcqshw0vuwy4wrxamp8eewe2
Joey,6+ months - 6 years,Companion for another dog or pet,Found roaming,Compatability with other pets in the home,Size,Individual personality/behavior,Trainability,Appearance,Breed,Yes,True,,,True,,,,,,,,,235a82a88eaa7854a9dc221165fc82f5,,, ,2/14/2020 2:04:57,2xgf2abjhdtt6ws70imic2xgf29fac1z
Sari,6+ years,Companionship and affection,Breeder,Appearance,Breed,Size,Age,Individual personality/behavior,Compatability with other pets in the home,"Partially, I grew to love the dog over time",True,,,True,,,,,,,,,8f42a2adf262f45e8375444afb617876,,, ,2/14/2020 2:04:58,7wt68fah35edkj55xi7wt68fptewbgjd
Boomer,Less than 1 week,Companion for another dog or pet,Shelter/Rescue,Compatability with other pets in the home,Trainability,Size,Individual personality/behavior,Age,Breed,Yes,True,,,True,,,,,,,,,a72f1f63aed8861ec0a1368cb72df905,,, ,2/14/2020 2:05:50,svvvffp10pw6wfi3wvlwysvvvffmmi8y
Mitzy,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Trainability,Size,Appearance,Breed,Age,Yes,False,6+ years,Passed,False,True,Individual personality/behavior,Age,Size,Trainability,Compatability with other pets in the home,Breed,Shelter/Rescue,235a82a88eaa7854a9dc221165fc82f5,We have submissions for:,,", ",2/14/2020 2:08:08,tk8h3chjkmduowi42ct7ptk8h3chjy3e
Cupid,1 week - 6 months,Companion for another dog or pet,Shelter/Rescue,Compatability with other pets in the home,Individual personality/behavior,Age,Size,Breed,Appearance,"Partially, I grew to love the dog over time",True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Trainability,Age,Size,Breed,Shelter/Rescue,8f42a2adf262f45e8375444afb617876,We have submissions for:,,", ",2/14/2020 2:07:43,z2eo8jqtsskji7sruz2eokjgpegy9mi3
Lady,Less than 1 week,Companionship and affection,Family member or friend,Individual personality/behavior,Trainability,Age,Appearance,Size,Breed,Yes,True,,,False,True,Compatability with other pets in the home,Trainability,Individual personality/behavior,Breed,Age,Size,Breeder,a72f1f63aed8861ec0a1368cb72df905,We have submissions for:,,", ",2/14/2020 2:08:21,h04ac4jzbf9swon9ayqh04uwggbw80wq
Rory,1 week - 6 months,Working or sporting,Breeder,Breed,Age,Individual personality/behavior,Trainability,Appearance,Compatability with other pets in the home,Yes,True,,,True,,,,,,,,,9d4b270a43d76afe96c692f6d215ba56,,, ,2/14/2020 2:11:25,0ecfydq1lzwsdf5l6aq550er0ecfydx4
Ripley,6+ years,Companionship and affection,Breeder,Individual personality/behavior,Trainability,Size,Compatability with other pets in the home,Appearance,Size,"Partially, I accepted the dog and made it work",True,,,False,True,Individual personality/behavior,Trainability,Compatability with other pets in the home,Appearance,Breed,Size,Breeder,bdee0ea484917f9fb64b01a9cae2595d,,, ,2/14/2020 2:13:02,qe7t4omakrha169lqe7t4o241kny8j0b
Pippa,1 week - 6 months,Working or sporting,Breeder,Breed,Age,Trainability,Individual personality/behavior,Compatability with other pets in the home,Size,Yes,True,,,False,True,Breed,Individual personality/behavior,Trainability,Compatability with other pets in the home,Size,Appearance,Breeder,9d4b270a43d76afe96c692f6d215ba56,We have submissions for:,,,2/14/2020 2:20:31,fzphyeqb21nmua4tw8fzphyeqk067aaf
Kawliga,6+ years,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Appearance,Breed,Size,Age,Compatability with other pets in the home,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Trainability,Size,Age,Appearance,Shelter/Rescue,58f1842aed055a4f032f8c17894f435e,,, ,2/14/2020 2:22:24,r5uvifa3k8det87c1r5uvifao04cjpza
Henry,Less than 1 week,"I met him and he was scared and shy of people, and Clearly felt safe with me, and I just felt like I was supposed to bring him home. I guess companionship and affection. Is an accurate answer, but there was more to it than that. I felt like he chose me.",Family member or friend,Individual personality/behavior,Appearance,Age,Breed,Size,Size,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Trainability,Appearance,Breed,Size,Shelter/Rescue,337db602b202bd01f5134715963d9505,,, ,2/14/2020 2:28:40,m08wxacg58c0ryhkm08wn0xvm8xv60lx
Juniata,1 week - 6 months,Companionship and affection,Shelter/Rescue,Breed,Individual personality/behavior,Age,Compatability with other pets in the home,Size,Appearance,Yes,True,,,True,,,,,,,,,242f5fe9f1e14233ea32c35b28b1e46e,,, ,2/14/2020 2:25:37,bmgva73bqyfv74w45bmgva770g3tw9j0
Gus,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Age,Appearance,Breed,Size,Trainability,"Partially, I accepted the dog and made it work",True,,,False,True,Individual personality/behavior,Age,Trainability,Appearance,Breed,Size,Shelter/Rescue,c9aca32397f9b64f992f41ddf2073af3,,, ,2/14/2020 2:29:04,hgbm1bjmpglpwiu8a53hgbm1btd16nz1
Bishop,1 week - 6 months,Companion for another dog or pet,Shelter/Rescue,Breed,Individual personality/behavior,Compatability with other pets in the home,Age,Appearance,Size,Yes,True,,,False,True,Breed,Individual personality/behavior,Age,Compatability with other pets in the home,Size,Appearance,Shelter/Rescue,242f5fe9f1e14233ea32c35b28b1e46e,We have submissions for:,,", ",2/14/2020 2:27:51,vhkc88r4kfxjoqucvhkc8ab3v1ayjc9g
Bailey,6+ months - 6 years,"Someone else in the home wanted a dog (e.g. kids, spouse)",Breeder,Breed,Individual personality/behavior,Size,Compatability with other pets in the home,Trainability,Appearance,"Partially, I grew to love the dog over time",True,,,True,,,,,,,,,d619872df9e6ac0393ce990e9fa4b800,,, ,2/14/2020 2:30:35,dggeloi3on2ehdggepw5hcynrmoojqkj
Jameson,6+ months - 6 years,"Someone else in the home wanted a dog (e.g. kids, spouse)",Breeder,Breed,Size,Individual personality/behavior,Trainability,Appearance,Age,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Trainability,Size,Age,Breed,Family member or friend,d619872df9e6ac0393ce990e9fa4b800,We have submissions for:,,", ",2/14/2020 2:32:26,ih5u37876iq6gg00plubih5u373x7xfw
Foxtrot,1 week - 6 months,Companionship and affection,Shelter/Rescue,Compatability with other pets in the home,Individual personality/behavior,Size,Age,Trainability,Breed,"Partially, I grew to love the dog over time",True,,,True,,,,,,,,,335205862e9eb1354940bd9f53aebcd8,,, ,2/14/2020 2:35:28,ldxv61lgmu629pc5fzzdxqldxv61lnld
Bixby,6+ years,Companionship and affection,Shelter/Rescue,Size,Individual personality/behavior,Age,Appearance,Breed,Trainability,Yes,True,,,False,True,Individual personality/behavior,Trainability,Breed,Appearance,Compatability with other pets in the home,Age,Breeder,a1196f18302d6bba7af084d7ce584a9c,,, ,2/14/2020 2:36:21,yb7g3loaub712ibyb7gotl1uvih2jyyv
Salsa,1 week - 6 months,Companion for another dog or pet,Shelter/Rescue,Compatability with other pets in the home,Individual personality/behavior,Trainability,Size,Age,Appearance,Yes,True,,,False,True,Individual personality/behavior,Trainability,Compatability with other pets in the home,Size,Age,Breed,Shelter/Rescue,335205862e9eb1354940bd9f53aebcd8,We have submissions for:,,", ",2/14/2020 2:37:28,yuxrz4eoi7erjdyuxrztu0zwj0je1v9j
Ella,Less than 1 week,Companionship and affection,Found roaming,Individual personality/behavior,Size,Appearance,Age,Trainability,Compatability with other pets in the home,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Trainability,Size,Breed,Appearance,Shelter/Rescue,8a8ed51fcfc8b314d6bad883a48b6983,,, ,2/14/2020 2:38:44,lcr2o00nit2zkh00y2dcwklcr2o00ppn
